voucher_no,accession_no,Family,Genus,epithet,Species
562,2008-1164,Sapindaceae,Acer,rubrum,Acer rubrum
563,1969-1445,Magnoliaceae,Magnolia,stellata,Magnolia stellata
564,1988-1286,Fagaceae,Quercus,alba,Quercus alba
566,1976-0611,Magnoliaceae,Magnolia,stellata,Magnolia stellata
567,2003-0477-1,Fabaceae,Cercis,canadensis,Cercis canadensis
568,2005-0717,Fabaceae,Cercis,canadensis,Cercis canadensis
569,1969-6151,Sapindaceae,Acer,rubrum,Acer rubrum
570,1997-2846-2,Fagaceae,Quercus,alba,Quercus alba
571,2011-0656-3,Ericaceae,Rhododendron,mucronulatum,Rhododendron mucronulatum
572,2009-0329,Sapindaceae,Acer,truncatum,Acer truncatum
573,1996-0314,Magnoliaceae,Magnolia,grandiflora,Magnolia grandiflora
574,1999-1112,Magnoliaceae,Magnolia,grandiflora,Magnolia grandiflora
575,na,Fagaceae,Quercus,coccinea,Quercus coccinea
576,na,Fagaceae,Quercus,coccinea,Quercus coccinea
577,2009-0713,Sapindaceae,Acer,truncatum,Acer truncatum
578,2016-1238-2,Ericaceae,Rhododendron,mucronulatum,Rhododendron mucronulatum
579,1989-5980,Fabaceae,Calliandra,haematocephala,Calliandra haematocephala
580,1985-0944-1,Fabaceae,Albizia,saman,Albizia saman
581,2017-2555-1,Lauraceae,Persea,borbonia,Persea borbonia
582,1997-3537-1,Piperaceae,Piper,jacquemontianum,Piper jacquemontianum
583,1990-3008-1,Annonaceae,Sapranthus,microcarpus,Sapranthus microcarpus
584,1969-0267-1,Moraceae,Ficus,sycamorus,Ficus sycamorus
586,1969-1101-1,Moraceae,Ficus,benghalensis,Ficus benghalensis
588,1980-1172-1,Malvaceae,Ceiba,pentandra,Ceiba pentandra
589,1994-1888-1,Myrtaceae,Eugenia,sp,Eugenia sp
590,1989-2585-2,Malvaceae,Ceiba,speciosa,Ceiba speciosa
591,1989-4225-1,Solanaceae,Brunfelsia,pauciflora,Brunfelsia pauciflora
592,1969-1403-1,Piperaceae,Piper,unguiculatum,Piper unguiculatum
593,1983-1699-2,Fabaceae,Inga,feuillei,Inga feuillei
594,1989-4523-2,Rubiaceae,Hamelia,patens,Hamelia patens
595,2018-1027-2,Melastomataceae,Melastoma,beccarianum,Melastoma beccarianum
596,1989-4458,Myrtaceae,Pimenta,dioica,Pimenta dioica
597,1992-0016,Rubiaceae,Psychotria,mexiae,Psychotria mexiae
